"Restaurant","Food Category","Item_Name","Item Description 2015","Servings Per Item 2015","Serving Size 2015","Serving Size Unit 2015","Servings Size Text 2015","Calories 2015","Total Fat (g) 2015","Carbohydrates (g) 2015","Sugar (g) 2015","Protein (g) 2015",Menu_Item_ID
"El Pollo Loco",Entrees,"Pollo Bowl","Pollo Bowl w/ Chopped Boneless Chicken, Pinto Beans, Rice, Pico de Gallo Salsa, Diced Onion, Cilantro, Healthy Dining, Lindora, Healthier For You, Bowls & Salads, Stuffed Quesadillas & Bowls",,513,g*,,610,11,87,3,40,1280
"El Pollo Loco",Entrees,"Skinless Breast Meal","	Skinless Breast Meal w/out Tortilla Strips or Dressing on Salad, Flame-Grilled Chicken, Lindora",,315,g*,,265,8,11,4,39,61215
"El Pollo Loco",Entrees,"Skinless Chicken Breast","Skinless Chicken Breast, Healthy Dining, Lindora, Under 500 Calories, Healthier For You",,"	-"," ","1 Breast",180,"	3.5",0,0,35,1146
"El Pollo Loco",Entrees,"Skinless Chicken Breast w/ Vegetables & Corn Cobbette","Skinless Chicken Breast w/ Vegetables & Corn Cobbette, Kids Live Well",,"	-"," ","1 order",270,7,14,6,37,31259
"El Pollo Loco",Entrees,"Skinny Chicken Quesadilla","Skinny Chicken Quesadilla w/ 10"" Wheat Flour Tortilla, Chopped Boneless Chicken Breast, Poblano Salsa, Diced Onion, Lettuce Blend, Shredded Monterey Jack Cheese, Cabbage, Pico de Gallo Salsa & Cilantro, 5 Under 500 Calories, What's New",,332,g*,,450,16,43,4,36,94835
"El Pollo Loco",Entrees,"Skinny Quesadilla","Skinny Quesadilla, Under 500 Calories, Limited Time Offers",,332,g*,,460,17,43,5,37,94843
"El Pollo Loco",Entrees,"Ultimate Double Chicken Bowl","Ultimate Double Chicken Bowl w/ Rice, Pinto Beans, Cabbage, Shredded Monterey Jack Cheese, Sour Cream, Pico de Gallo Salsa, Sour Cream, Avocado Slices & Chopped Boneless Chicken Breast, Favorites, Ultimate Double Chicken, Limited Time Offers, Stuffed Quesadillas & Bowls",,717,g*,,970,34,94,5,70,94840
"El Pollo Loco",Entrees,"Ultimate Double Chicken Enchiladas","Ultimate Double Chicken Enchiladas w/ Rice, Ranchero Shredded Chicken, Enchilada Sauce, Poblano Cream, 6"" Yellow Corn/Flour Blend Tortilla, Shredded Monterey Jack Cheese, Chopped Boneless Chicken & Cilantro, Ultimate Double Chicken, Limited Time Offers",,564,g*,,900,33,90,11,57,94838
"El Pollo Loco",Entrees,"Ultimate Double Chicken Tostada","Ultimate Double Chicken Tostada w/ Fried Tostada Shell, Pinto Beans, Shredded Monterey Jack Cheese, Pico de Gallo Salsa, Avocado Slices, Rice, Lettuce Blend, Chopped Boneless Chicken Breast & Sour Cream w/out Dressing, What's New, Ultimate Double Chicken, Limited Time Offers; Choice of Adding: Creamy Cilantro Dressing",,612,g*,,1030,51,82,5,64,94837
"El Pollo Loco",Entrees,"Ultimate Double Chicken Tostada w/ Dressing","Ultimate Double Chicken Tostada w/ Creamy Cilantro Dressing, Fried Tostada Shell, Pinto Beans, Shredded Monterey Jack Cheese, Pico de Gallo Salsa, Avocado Slices, Rice, Lettuce Blend, Chopped Boneless Chicken Breast & Sour Cream, What's New, Ultimate Double Chicken, Limited Time Offers",,697,g*,,1470,97,85,6,66,94844
"El Pollo Loco","Fried Potatoes","French Fries, Large","French Fries w/ Salt, Sides, Large; Choice in: 8 Piece Meal, 10 Piece Meal, 12 Piece Meal & 16 Piece Meal",,206,g*,,630,33,78,0,8,15779
"El Pollo Loco","Fried Potatoes","French Fries, Small","French Fries w/ Salt, Sides, Small; Choice in: Kids Combo, 3 Piece Combo & Half Chicken Combo, Kids & Adults Menu",,106,g*,,330,17,40,0,4,15780
"El Pollo Loco",Salads,"Avocado Bacon Chicken Tostada Salad","Avocado Bacon Chicken Tostada Salad w/ Fried Tostada Shell, Rice, Pinto Beans, Lettuce Blend, Chopped Boneless Chicken Breast, Pico de Gallo Salsa, Bacon Topping & Avocado Slices, Bowls & Sides; Choice of Adding: Creamy Cilantro Dressing",,601,g*,,900,46,81,5,43,61229
"El Pollo Loco",Salads,"Avocado Bacon Tostada Salad","Avocado Bacon Tostada Salad w/out Dressing, Premium Salads",,516,g*,,900,46,81,4,43,61240
"El Pollo Loco",Salads,"Avocado Bacon Tostada Salad w/ Dressing","Avocado Bacon Tostada Salad w/ Dressing, Premium Salads",,601,g*,,1340,92,84,7,46,61242
"El Pollo Loco",Salads,"Avocado Salad","Avocado Salad w/ Lettuce Blend, Black Beans, Cotija Cheese, Chopped Boneless Chicken Breast, Pico de Gallo Salsa, Broccoli & Avocado Slice w/out Low Fat Citrus Vinaigrette, 5 Under 500 Calories, Healthier For You, Lindora; Choice of Adding: Low Fat Citrus Vinaigrette",,437,g*,,290,10,24,6,31,61231
"El Pollo Loco",Salads,"Chicken & Grilled Shrimp Tostada w/ Dressing","Chicken & Grilled Shrimp Tostada w/ Low Fat Citrus Vinaigrette Dressing, 10"" Wheat Flour Tortilla, Black Beans, Lettuce Blend, Chopped Boneless Chicken Breast, Baja Shrimp, Pico de Gallo Salsa, Cojita Cheese, What's New, 5 Under 500 Calories, Limited Time Offers, Under 500 Calories",,516,g*,,640,23,70,21,43,94851
"El Pollo Loco",Salads,"Chicken Tostada Salad","Chicken Tostada Salad w/ Rice, Lettuce Blend, Pinto Beans, Monterey Jack Cheese, Shredded, Chopped Boneless Chicken Breast, Pico de Gallo Salsa & Sour Cream w/out Dressing or Shell, Under 500 Calories, Healthy Dining, Healthier For You, Premium Salads",,417,g*,,430,13,43,5,34,27851
"El Pollo Loco",Salads,"Chicken Tostada Salad w/ Fried Tostada Shell","Chicken Tostada Salad w/ Fried Tostada Shell, Rice, Pinto Beans, Lettuce Blend, Monterey Jack Cheese, Shredded, Chopped Boneless Chicken Breast, Pico de Gallo Salsa & Sour Cream, Bowls & Salads; Choice of Adding: Creamy Cilantro Dressing",,576,g*,,860,43,78,5,41,1701
"El Pollo Loco",Salads,"Grilled Chicken & Kale Salad","Grilled Chicken & Kale Salad w/ Kale Salad Blend, Cotija Cheese, Dried Cranberries, Chopped Boneless Chicken Breast, Roasted Pepitas & Avocado Slices, What's New, Under 500 Calories, Limited Time Offer; Choice of Adding: Low Fat Citrus Vinaigrette",,252,g*,,390,16,35,20,31,94846
"El Pollo Loco",Salads,"Grilled Chicken & Kale Salad w/ Dressing","Grilled Chicken & Kale Salad w/ Low Fat Citrus Vinaigrette Dressing, Kale Salad Blend, Cotija Cheese, Dried Cranberries, Chopped Boneless Chicken Breast, Roasted Pepitas & Avocado Slices, Under 500 Calories, Limited Time Offer",,337,g*,,580,32,44,28,35,94852
"El Pollo Loco",Salads,"Grilled Chicken Salad w/ Dressing","	Grilled Chicken Salad w/ Dressing, Lettuce Blend, Pico de Gallo Salsa, Fried Tortilla Strips, Chopped Boneless Chicken Breast, Cotija Cheese, Cilantro & Fire-Grilled Mexican Corn, Premium Salads",,374,g*,,680,54,23,7,28,15741
"El Pollo Loco",Salads,"Grilled Chicken Salad w/ Tortilla Strips, Small","	Grilled Chicken Salad w/ Lettuce Blend, Pico de Gallo Salsa, Fried Tortilla Strips, Chopped Boneless Chicken Breast, Cotija Cheese, Cilantro & Fire-Grilled Mexican Corn w/out Dressing, Healthy Dining, Healthier For You, Premium Salads, Small",,289,g*,,240,8,20,5,26,94848
"El Pollo Loco",Salads,"Grilled Chicken Salad, Large","Grilled Chicken Salad, Large, w/ Lettuce Blend, Pico de Gallo Salsa, Fried Tortilla Strips, Chopped Boneless Chicken Breast, Cotija Cheese, Cilantro & Fire Grilled Mexican Corn, Bowls & Salads, Under 500 Calories; Choice of Adding: Creamy Cilantro Dressing",,374,g*,,240,8,20,5,26,27852
"El Pollo Loco",Salads,"Large Loco Side Salad w/ Dressing & Tortilla Strips","Large Loco Side Salad w/ Chopped Romaine, Corn Tortilla Strips, Cilantro, Cotija Cheese & Creamy Cilantro Dressing, Sides; Choice in: 8 Piece Meal, 10 Piece Meal, 12 Piece Meal & 16 Piece Meal",,251,g*,,560,52,18,6,7,31228
"El Pollo Loco",Salads,"Mango Grilled Tostada Salad","Mango Grilled Tostada Salad w/ 10 "" Wheat Flour Tortilla, Black Beans, Lettuce Blend, Cotija Cheese, Chopped Boneless Chicken Breast, Avocado Slices & Mango Salsa, 5 Under 500 Calories, Lindora, Healthier For You; Choice of Adding: Low Fat Citrus Vinaigrette",,422,g*,,470,15,57,7,34,61228
"El Pollo Loco",Salads,"Mexican Cobb Salad","Mexican Cobb Salad w/ Lettuce Blend, Bacon Topping, Shredded Monterey Jack Cheese, Avocado Slices, Fried Tortilla Strips, Black Beans, Pico de Gallo Salsa & Chopped Boneless Chicken Breast w/out Dressing, Limited Time Offers, Signature Chicken Salads, Premium Salads; Choice of Adding: Creamy Cilantro Dressing",,404,g*,,520,25,38,5,38,94850
"El Pollo Loco",Salads,"Mexican Cobb Salad w/ Dressing","Mexican Cobb Salad w/ Creamy Cilantro Dressing, Lettuce Blend, Bacon Topping, Shredded Monterey Jack Cheese, Avocado Slices, Fried Tortilla Strips, Black Beans, Pico de Gallo Salsa & Chopped Boneless Chicken Breast, Limited Time Offers, Signature Chicken Salads, Premium Salads",,490,g*,,960,72,41,8,40,94857
"El Pollo Loco",Salads,"Small Loco Side Salad","Small Loco Side Salad w/ Lettuce Blend, Cilantro, Cotija Cheese w/out Dressing or Tortilla Strips, Lindora, Healthier For You",,84,g*,,25,1,3,2,2,27833
"El Pollo Loco",Salads,"Small Loco Side Salad w/ Dressing & Tortilla Strips","Small Loco Side Salad w/ Lettuce Blend, Fried Tortilla Strips, Cilantro, Creamy Cilantro Dressing & Cotija Cheese, Loco Value Menu, Sides, Healthy Dining",,120,g*,,210,18,9,3,3,15742
"El Pollo Loco",Salads,"Small Loco Side Salad w/ Fried Tortilla Strips","Small Loco Side Salad w/ Lettuce Blend, Cilantro, Cotija Cheese & Fried Tortilla Strips w/out Dressing, Healthy Dining, Healthier for You",,92,g*,,60,3,8,2,2,94847
"El Pollo Loco",Salads,"Ultimate Double Chicken Salad","Ultimate Double Chicken Salad w/ Lettuce Blend, Fire Grilled Mexican Corn, Fried Tortilla Strips, Pico de Gallo Salsa, Cilantro, Cojita Cheese & Chopped Boneless Chicken Breast w/out Dressing, What's New, Limited Time Offers, Signature Chicken Salads; Choice of Adding: Creamy Cilantro Dressing",,366,g*,,340,19,20,5,47,94849
"El Pollo Loco",Sandwiches,"Avocado Burrito","Avocado Burrito w/ 10"" Wheat Flour Tortilla, Cabbage, Black Beans, Chopped Boneless Chicken Breast, Pico de Gallo Salsa, Poblano Salsa, Avocado Slices, Lettuce Blend & Sour Cream, 5 Under 500 Calories, Lindora, Healthier For You, also called Whole Wheat Avocado Burrito",,408,g*,,490,18,54,4,33,61245
"El Pollo Loco",Sandwiches,"BRC Burrito","BRC Burrito w/ Rice, Pinto Beans, Shredded Monterey Jack Cheese & 10"" Flour Tortilla, Loco Value Menu, Healthy Dining, Under 500 Calories, Lindora, Healthier For You, Snack Menu, Kids & Adults Menu, Kids Combos; Choice of Adding: Tortillas or Chips & Kids Drink",,215,g*,,430,12,63,<1,15,2695
"El Pollo Loco",Sandwiches,"Chicken Avocado Burrito","Chicken Avocado Burrito w/ 12"" Flour Tortilla, Shredded Monterey Jack Cheese, Pinto Beans, Chopped Boneless Chicken, Creamy Cilantro Dressing, Pico de Gallo Salsa, Avocado Slices, Cilantro & Cabbage, Chicken Burritos",,509,g*,,950,53,74,5,48,31210
"El Pollo Loco",Sandwiches,"Chicken Avocado Soft Tacos","Chicken Avocado Soft Tacos w/ 6"" Yellow Corn/Flour Blend Tortilla, Chopped Boneless Chicken, Poblano Cream, Cabbage, Shredded Monterey Jack Cheese, Pico de Gallo Salsa & Avocado Slices, 1 Taco, Favorites, Soft Tacos",,181,g*,"1 Taco",310,17,20,6,20,94863
"El Pollo Loco",Sandwiches,"Chicken Taco Al Carbon","	Chicken Taco Al Carbon w/ 2 4.5"" Corn Tortillas, Soybean Oil, Chopped Boneless Chicken, Diced Onion & Cilantro, also called Taco Al Carbon, Loco Value Menu, Healthy Dining, Under 500 Calories, Lindora, Healthier For You, Snack Menu",,91,g*,,160,6,18,<1,10,2724
"El Pollo Loco",Sandwiches,"Crunchy Chicken Taco","Crunchy Chicken Taco w/ Lettuce Blend & Shredded Monterey Jack Cheese, Loco Value Menu, Under 500 Calories, Snack Menu",,118,g*,,300,17,21,1,15,27870
"El Pollo Loco",Sandwiches,"Double Chicken Wet Burrito","Double Chicken Wet Burrito w/ 10"" Wheat Flour Tortilla, Chopped Boneless Chicken Breast, Pico de Gallo Salsa, Enchilada Sauce & Cojita Cheese, 5 Under 500 Calories, What's New, Limited Time Offers, Under 500 Calories",,343,g*,,480,12,43,3,51,94860
"El Pollo Loco",Sandwiches,"Grande Taco Plate","Grande Taco Plate w/ 6"" Yellow Corn/Flour Blend Tortilla, Chopped Boneless Chicken Breast, Lettuce Blend, Pico de Gallo Salsa, Cabbage, Sour Cream & Handmade Guacamole, 2 Tacos, 5 Under 500 Calories",,346,g*,"2 Tacos",460,13,34,11,53,94864
"El Pollo Loco",Sandwiches,"Grilled Chicken Tortilla Roll","Grilled Chicken Tortilla Roll, Snack Menu",,170,g*,,400,15,38,0,26,27867
"El Pollo Loco",Sandwiches,"New Classic Chicken Burrito","New Classic Chicken Burrito, Chicken Burritos",,295,g*,,520,16,66,2,26,31209
"El Pollo Loco",Sandwiches,"Poblano Avocado Burrito","	Poblano Avocado Burrito w/ 12"" Flour Tortilla, Shredded Monterey Jack Cheese, Rice, Pinto Beans, Chopped Boneless Chicken, Fire-Grilled Mexican Corn, Poblano Salsa, Avocado Slices, Diced Onion & Cilantro, Chicken Burritos",,526,g*,,910,39,93,3,49,15775
"El Pollo Loco",Sandwiches,"Ranchero Burrito","Ranchero Burrito w/ 12"" Flour Tortilla, Shredded Monterey Jack Cheese, Rice, Pinto Beans, Ranchero Shredded Chicken, Cabbage, Poblano Cream, Cilantro & Pico de Gallo Salsa, Chicken Burritos",,490,g*,,880,39,87,5,45,94862
"El Pollo Loco",Sandwiches,"Spicy Chipotle Burrito","Spicy Chipotle Burrito w/ 12"" Flour Tortilla, Shredded Monterey Jack Cheese, Rice, Pinto Beans, Chopped Boneless Chicken, Chipotle Salsa, Sour Cream, Pico de Gallo Salsa & Cilantro, Chicken Burritos",,481,g*,,840,35,82,4,47,15776
"El Pollo Loco",Sandwiches,"Taco Al Carbon, Pinto Beans & Vegetables","Taco Al Carbon, Pinto Beans & Vegetables, Kids Live Well",,"	-"," ","1 order",360,10,47,1,21,61255
"El Pollo Loco",Sandwiches,"Ultimate Double Chicken Burrito","Ultimate Double Chicken Burrito w/ 12"" Flour Tortilla, Shredded Monterey Jack Cheese, Pinto Beans, Chopped Boneless Chicken, Poblano Salsa, Cabbage, Sour Cream, Pico de Gallo Salsa & Cilantro, What's New, Ultimate Double Chicken, Limited Time Offers",,584,g*,,970,43,72,4,72,94861
"El Pollo Loco",Soup,"Chicken Corn Chowder, Large","Chicken Corn Chowder, Large, What's New, Limited Time Offers, Soup",,624,g*,,690,41,47,9,31,94866
"El Pollo Loco",Soup,"Chicken Corn Chowder, Small","Chicken Corn Chowder, Small, What's New, Limited Time Offers, Soup",,283,g*,,320,19,21,4,14,94865
"El Pollo Loco",Soup,"Large Chicken Tortilla Soup","Large Chicken Tortilla Soup w/out Tortilla Strips, Starters",,641,g*,,300,11,22,4,32,15737
"El Pollo Loco",Soup,"Large Chicken Tortilla Soup w/ Tortilla Strips","Large Chicken Tortilla Soup w/ Shredded Chicken, Roasted Corn, Celery, Carrots, Roasted Poblano Peppers, Red Bell Peppers, Fried Tortilla Strips, Cotija Cheese & Cilantro, Starters, Under 500 Calories",,669,g*,,450,19,40,5,34,15736
"El Pollo Loco",Soup,"Small Chicken Tortilla Soup","Small Chicken Tortilla Soup w/out Tortilla Strips, Healthy Dining, Starters, Lindora",,292,g*,,140,5,10,2,15,15739
"El Pollo Loco",Soup,"Small Chicken Tortilla Soup w/ Tortilla Strips","Small Chicken Tortilla Soup w/ Shredded Chicken, Roasted Corn, Celery, Carrots, Roasted Poblano Peppers, Red Bell Peppers, Fried Tortilla Strips, Cotija Cheese & Cilantro, Lindora, Starters, Under 500 Calories, Healthier For You",,306,g*,,210,9,19,2,16,1431
