Restaurant,Food Category,Item_Name,Item Description 2015,Servings Per Item 2015,Serving Size 2015,Serving Size Unit 2015,Servings Size Text 2015,Calories,Fat,Carbohydrates,Sugar,Protein,Menu_Item_ID
"	Carl's Jr.",Fried Potatoes,"Natural Cut French Fries, Small","Natural Cut French Fries, Small, Sides",,104,g,,300,15,39,0,3,1556
"	Carl's Jr.",Fried Potatoes,"Sweet Potato Fries, Large","Sweet Potato Fries, Large, Sides",,178,g,,540,26,71,29,5,29523
"	Carl's Jr.",Fried Potatoes,"Sweet Potato Fries, Medium","Sweet Potato Fries, Medium, Sides",,170,g,,510,25,68,27,5,29522
"	Carl's Jr.",Fried Potatoes,"Sweet Potato Fries, Small","Sweet Potato Fries, Small, Sides",,117,g,,360,17,47,19,3,29521
"	Carl's Jr.",Salads,Crispy Chicken Salad,"Crispy Chicken Salad w/ Hand Breaded Chicken Tenders, Cheddar Jack Cheese, Spring Mix, Iceberg Lettuce, Cucumber, Red Onion, Tomato & Croutons, Salads; Choice of Adding: Dressing",,425,g,,350,16,29,7,24,60522
"	Carl's Jr.",Salads,Original Grilled Chicken Salad,"Original Grilled Chicken Salad w/ Salad Mix, Grilled Chicken, Red Onions, Shredded Cheese, Wedge Tomatoes, Cucumber Slices & Croutons, Salads; Choice of: Dressings",,425,g,,280,12,26,8,18,60521
"	Carl's Jr.",Salads,Original Grilled Chicken Salad w/ Blue Cheese Dressing,"Original Grilled Chicken Salad w/ Blue Cheese Dressing, Salad Mix & Fresh Produce w/out Croutons, Low Carb It, Better for You Options",,425,g,,280,12,26,8,18,12276
"	Carl's Jr.",Salads,Original Grilled Chicken Salad w/ Low Fat Balsamic Vinaigrette,"Original Grilled Chicken Salad w/ Low Fat Balsamic Vinaigrette, Trim It Menu, Better For You Options",,425,g,,280,12,26,8,18,12277
"	Carl's Jr.",Salads,Side Salad,"Side Salad w/ Tomato Wedges, Cucumber Slices, Shredded Cheese, Spring Salad Mix & Croutons, also called Garden Side Salad, Salads, Veg It, Better for You Options; Choice of: Dressing",,149,g,,110,"	4.5",14,3,4,60524
"	Carl's Jr.",Salads,"Taco Salad, Chicken","Taco Salad, Chicken w/ Charbroiled Chicken, Pinto Beans, Jack Cheese, Cheddar Cheese, Lettuce, Fresh Salsa, Hot Sauce, Sour Cream & Crispy Flour Tortilla Bowl, Specialties, Green Burrito",,534,g,,800,43,70,9,33,12279
"	Carl's Jr.",Salads,"Taco Salad, Ground Beef","Taco Salad, Ground Beef w/ Seasoned Ground Beef, Pinto Beans, Jack Cheese, Cheddar Cheese, Lettuce, Fresh Salsa, Hot Sauce, Sour Cream & Crispy Flour Tortilla Bowl, Specialties, Green Burrito",,548,g,,850,47,70,8,38,1696
"	Carl's Jr.",Salads,"Taco Salad, Steak","Taco Salad, Steak w/ Charbroiled Steak, Pinto Beans, Jack Cheese, Cheddar Cheese, Lettuce, Fresh Salsa, Hot Sauce, Sour Cream & Crispy Flour Tortilla Bowl, Specialties, Green Burrito",,534,g,,810,43,69,8,38,12281
"	Carl's Jr.",Sandwiches,Bacon & Egg Burrito,"Bacon & Egg Burrito w/ Flour Tortilla, 2 Strips of Bacon, Scrambled Eggs, Shredded Jack Cheese & Shredded Cheddar Cheese, Burritos & More, Breakfast",,203,g,,570,34,38,1,26,1062
"	Carl's Jr.",Sandwiches,"Bacon, Egg & Cheese Biscuit","Bacon, Egg & Cheese Biscuit w/ Folded Egg, Slices of Crispy Bacon, American Cheese & Scratch Biscuit, Made From Scratch Biscuits, Breakfast",,152,g,,480,30,38,3,15,12285
"	Carl's Jr.",Sandwiches,"Bacon, Egg & Cheese Biscuit, California","Bacon, Egg & Cheese Biscuit, Breakfast, California",,153,g,,470,28,38,3,15,29551
"	Carl's Jr.",Sandwiches,Bean & Cheese Burrito,"Bean & Cheese Burrito, Burritos, Green Burrito",,195,g,,440,15,56,1,19,12354
"	Carl's Jr.",Sandwiches,"Beef, Bean & Cheese Burrito","Beef, Bean & Cheese Burrito w/ Seasoned Ground Beef, Pinto Beans, Jack Cheese, Cheddar Cheese & Flour Tortilla, Burritos, Green Burrito",,210,g,,470,18,52,1,24,12356
"	Carl's Jr.",Sandwiches,Big Country Breakfast Burrito,"Big Country Breakfast Burrito w/ Flour Tortilla, Sausage, Ham, Bacon Bits, Scrambled Eggs, Shredded Jack Cheese, Shredded Cheddar Cheese, Sausage Gravy & Hash Brown Nuggets, Burritos & More, Breakfast",,300,g,,740,45,55,1,26,12286
"	Carl's Jr.",Sandwiches,"Big Country Breakfast Burrito, California","Big Country Breakfast Burrito w/ Warm Sausage Gravy, Scrambled Eggs, Sausage, Canadian Bacon, Bacon Bits, Hash Brown Nuggets, Shredded Jack Cheese, Cheddar Cheese & Flour Tortilla, California, Burritos & More, Breakfast",,294,g,,720,49,55,2,25,29559
"	Carl's Jr.",Sandwiches,"Burrito California, Chicken","Burrito California, Chicken w/ Charbroiled Chicken, Guacamole, Fresh Salsa, Shredded Cheese & Flour Tortilla, Burritos, Green Burrito",,240,g,,470,21,45,4,24,29536
"	Carl's Jr.",Sandwiches,"Burrito California, Steak","Burrito California, Steak w/ Charbroiled Steak, Guacamole, Fresh Salsa, Shredded Cheese & Flour Tortilla, Burritos, Green Burrito",,240,g,,480,21,44,3,28,29537
"	Carl's Jr.",Sandwiches,"Burrito Especial, Chicken","Burrito Especial, Chicken w/ Charbroiled Chicken, Guacamole, Fresh Salsa, Shredded Cheese, Pinto Beans & Flour Tortilla, Burritos, Green Burrito",,308,g,,550,22,59,4,28,29540
"	Carl's Jr.",Sandwiches,"Burrito Especial, Steak","Burrito Especial, Steak w/ Charbroiled Steak, Guacamole, Fresh Salsa, Shredded Cheese, Pinto Beans & Flour Tortilla, Burritos, Green Burrito",,308,g,,560,22,58,4,33,29541
"	Carl's Jr.",Sandwiches,"Burrito Mexicano, Chicken","Burrito Mexicano, Chicken w/ Charbroiled Chicken, Fresh Salsa, Shredded Cheese, Pinto Beans & Flour Tortilla, Burritos, Green Burrito",,288,g,,520,20,57,3,28,29538
"	Carl's Jr.",Sandwiches,"Burrito Mexicano, Steak","Burrito Mexicano, Steak w/ Charbroiled Steak, Fresh Salsa, Shredded Cheese, Pinto Beans & Flour Tortilla, Burritos, Green Burrito",,288,g,,540,19,56,3,32,29539
"	Carl's Jr.",Sandwiches,Charbroiled Atlantic Cod Fish Sandwich,"Charbroiled Atlantic Cod Fish Sandwich, Chicken & Other Choices",,234,g,,390,11,52,9,20,60527
"	Carl's Jr.",Sandwiches,Charbroiled BBQ Chicken Sandwich,"Charbroiled BBQ Chicken Sandwich on a Honey Wheat Bun w/ Charbroiled Chicken Breast, Lettuce, Tomato & Tangy BBQ Sauce, Chicken & More, Chicken & Other Choices",,239,g,,390,7,50,13,30,289
"	Carl's Jr.",Sandwiches,"Charbroiled BBQ Chicken Sandwich, Trim It","Charbroiled BBQ Chicken Sandwich, Trim It, Better for You Options; Also Available In Lettuce Wrap As The Low Carb Charbroiled BBQ Chicken Sandwich",,269,g,,390,8,51,13,30,12348
"	Carl's Jr.",Sandwiches,Charbroiled Chicken Club Sandwich,"Charbroiled Chicken Club Sandwich on a Honey Wheat Bun w/ Charbroiled Chicken Breast, Two Strips of Bacon, Melted Swiss Cheese, Tomato, Lettuce & Mayonnaise, Chicken & More, Chicken & Other Choices",,264,g,,580,28,46,11,36,287
"	Carl's Jr.",Sandwiches,Charbroiled Santa Fe Chicken Sandwich,"Charbroiled Santa Fe Chicken Sandwich on a Honey Wheat Bun w/ Charbroiled Chicken Breast, Melted American Cheese, Mild Green Chile, Lettuce & Santa Fe Sauce, Chicken & More, Chicken & Other Choices",,256,g,,560,27,46,10,33,288
"	Carl's Jr.",Sandwiches,"Chorizo, Egg & Cheese Burrito","Chorizo, Egg & Cheese Burrito, Burritos & More, Breakfast, California",,319,g,,770,47,54,2,37,91857
"	Carl's Jr.",Sandwiches,"Crisp Burritos, 2 Pieces","2 Crisp Burritos w/ Flour Tortillas, Seasoned Ground Beef & Cheddar Cheese, Specialties, Green Burrito",,129,g,,350,13,43,2,14,91861
"	Carl's Jr.",Sandwiches,"Crisp Burritos, 4 Pieces","4 Crisp Burritos w/ Flour Tortillas, Seasoned Ground Beef & Cheddar Cheese, Specialties, Green Burrito",,257,g,,700,26,87,4,29,91862
"	Carl's Jr.",Sandwiches,Crispy Taco,"Crispy Taco w/ Crisp Corn Tortilla, Seasoned Ground Beef, Shredded Lettuce, Beans, Hot Sauce & American Cheese, Tacos, Green Burrito",,72,g,,220,13,21,1,5,29544
"	Carl's Jr.",Sandwiches,Double Loaded Omelet Biscuit,"Double Loaded Omelet Biscuit w/ 2 Loaded Omelets, Crumbled Sausage, Bacon, Ham & Cheddar Cheese, Hardee's Made From Scratch Biscuits, Breakfast",,269,g,,820,58,40,4,33,91856
"	Carl's Jr.",Sandwiches,"Hard Taco, Ground Beef","Hard Taco, Ground Beef w/ Crisp Corn Tortilla, Seasoned Ground Beef, Shredded Lettuce, Hot Sauce, Jack Cheese & Cheddar Cheese, Tacos, Green Burrito",,95,g,,210,12,16,1,12,12377
"	Carl's Jr.",Sandwiches,Loaded Breakfast Burrito,"Loaded Breakfast Burrito w/ Flour Tortilla, Sausage, Ham, Bacon Bits, Scrambled Eggs, Shredded Cheddar Cheese, Shredded Jack Cheese, Hash Brown Nuggets & Fresh Salsa, Burritos & More, Breakfast",,306,g,,790,50,53,2,32,1061
"	Carl's Jr.",Sandwiches,Loaded Omelet Biscuit,"Loaded Omelet Biscuit w/ Crumbled Sausage, Bacon, Ham, Cheddar Cheese & Biscuit, Made From Scratch Biscuits, Breakfast",,183,g,,580,38,38,3,20,27605
"	Carl's Jr.",Sandwiches,"Loaded Omelet Biscuit, California","Loaded Omelet Biscuit, Breakfast, California",,185,g,,570,37,39,3,21,29549
"	Carl's Jr.",Sandwiches,Low Carb Charbroiled Chicken Club,"Low Carb Charbroiled Chicken Club w/ Charbroiled Chicken, Bacon, Cheese, Fixings & Whole Leaf Lettuce Wrap, Low Carb It, Better for You Options",,223,g,,370,24,8,4,30,12317
"	Carl's Jr.",Sandwiches,Monster Biscuit,"Monster Biscuit w/ Bacon, Sausage Patty, 2 Folded Eggs, American Cheese & Biscuit, Made From Scratch Biscuits, Breakfast",,253,g,,810,60,40,4,29,12270
"	Carl's Jr.",Sandwiches,"Monster Biscuit, California","Monster Biscuit, Breakfast, California",,255,g,,800,58,41,4,30,29553
"	Carl's Jr.",Sandwiches,"Sausage, Egg & Cheese Biscuit","Sausage, Egg & Cheese Biscuit w/ Folded Egg, Sausage Patty, American Cheese & Scratch Biscuit, Made From Scratch Biscuits, Breakfast",,185,g,,620,44,38,3,19,12323
"	Carl's Jr.",Sandwiches,"Sausage, Egg & Cheese Biscuit, California","Sausage, Egg & Cheese Biscuit, Breakfast, California",,186,g,,620,42,39,3,20,29550
"	Carl's Jr.",Sandwiches,Sourdough Breakfast Sandwich w/ Ham,"Sourdough Breakfast Sandwich w/ Ham, 2 Slices of Sourdough Bread, Egg, Swiss Cheese & American Cheese, Burritos & More, Breakfast",,193,g,,450,23,40,4,27,60529
"	Carl's Jr.",Sandwiches,Southwest Chicken Soft Taco,"Southwest Chicken Soft Taco w/ Flour Tortilla, Charbroiled Chicken, Lettuce, Shredded Jack Cheese, Shredded Cheddar Cheese & Santa Fe Sauce, Tacos, Green Burrito",,116,g,,310,21,19,1,11,12386
"	Carl's Jr.",Sandwiches,Spicy Chicken Sandwich,"Spicy Chicken Sandwich on a Plain Bun w/ Spicy Chicken Fillet, Lettuce & Mayonnaise, Chicken & More, Chicken & Other Choices",,177,g,,460,24,47,5,14,291
