"Restaurant","Food Category","Item_Name","Item Description 2015","Servings Per Item 2015","Serving Size 2015","Serving Size Unit 2015","Servings Size Text 2015","Calories 2015","Total Fat (g) 2015","Carbohydrates (g) 2015","Sugar (g) 2015","Protein (g) 2015",Menu_Item_ID
"Panera Bread",Salads,"Greek Salad w/ Chicken","Greek Salad w/ Chicken, Romaine, Tomatoes, Feta, Pepperoncini, Red Onions, Kalamata Olives, Pepper & Greek Dressing, Salads",,"	-"," ",,480,33,14,4,33,99111
"Panera Bread",Salads,"Half Asian Sesame Chicken Salad","Half Asian Sesame Chicken Salad w/ Cilantro, Crispy Wontons Strips, Almonds, Chopped Romaine Lettuce, Hulled Sesame, Citrus & Pepper Chicken & Asian Sesame Vinaigrette, Half Salads, Salads; Choice in: You Pick Two",,"	-"," ","Half Salad",210,11,13,3,16,1779
"Panera Bread",Salads,"Half BBQ Chicken Salad","	Half BBQ Chicken Salad w/ Chopped Romaine Lettuce, Tri-Color Tortilla Strips, Fire Roasted Southwestern Corn Blend, Mild BBQ Sauce, BBQ Ranch Dressing & Citrus & Pepper Chicken, Half Salads; Choice in: You Pick Two",,"	-"," ","Half Salad",230,10,19,9,15,20646
"Panera Bread",Salads,"Half Caesar Chicken Salad","Half Caesar Chicken Salad w/ Caesar Dressing, Asiago Parmesan Blend, Chopped Romaine Lettuce, Asiago Croutons & Citrus & Pepper Chicken, Half Salads, Salads; Choice in: You Pick Two",,"	-"," ","Half Salad",220,13,10,1,17,1781
"Panera Bread",Salads,"Half Chicken Cobb w/ Avocado Salad","Half Chicken Cobb w/ Avocado Salad, Gorgonzola Crumbles, Diced Egg, Chopped Romaine Lettuce, Fresh Tomatoes, Applewood Smoked Bacon, Greek Dressing & All Natural Antibiotic Free Citrus & Pepper Chicken, Half Salads, Salads; Choice in: You Pick Two",,"	-"," ","Half Salad",320,24,7,1,21,32178
"Panera Bread",Salads,"Half Classic Salad","Half Classic Salad w/ Reduced Fat Balsamic Vinaigrette, Fresh Cucumber, Red Onions, Chopped Romaine Lettuce, Fresh Tomatoes & Spring Mix w/ Baby Spinach, Half Salads, Salads, Kids, also called Kids Classic Salad; Choice in: You Pick Two, Kids & Adults Menu",,"	-"," ",,80,5,9,6,1,1852
"Panera Bread",Salads,"Half Fuji Apple Chicken Salad","Half Fuji Apple Chicken Salad w/ Apple Chips, Gorgonzola Crumbles, Red Onions, Chopped Romaine, Fresh Tomatoes, Pecans, White Balsamic Fuji Apple Vinaigrette, Citrus & Pepper Chicken & Spring Mix w/ Baby Spinach, Half Salads, Salads; Choice in: You Pick Two",,"	-"," ","Half Salad",280,17,17,10,16,1780
"Panera Bread",Salads,"Half Greek Salad","Half Greek Salad w/ Feta Crumbles, Greek Dressing, Black Pepper, Pepperoncini, Red Onions, Chopped Romaine Lettuce, Fresh Tomatoes & Kalamata Olives, Half Salads, Salads, Kids, also called Kids Greek Salad; Choice in: You Pick Two, Kids & Adults Menu",,"	-"," ",,180,16,7,2,4,1854
"Panera Bread",Salads,"Half Steak & Blue Cheese Salad","Half Steak & Blue Cheese Salad w/ Gorgonzola Crumbles, Chopped Romaine Lettuce, Fresh Tomatoes, Blue Cheese Vinaigrette, Crispy Garlic Pepper Onions, Cabernet Sauce & Steak, Half Salads, Salads; Choice in: You Pick Two",,"	-"," ","Half Salad",340,24,14,5,18,20656
"Panera Bread",Salads,"Half Thai Chicken Salad","Half Thai Chicken Salad w/ Cilantro, Crispy Wonton Strips, Chopped Romaine Lettuce, Citrus & Pepper Chicken, Fire Roasted Edamame Blend, Low Fat Chili Vinaigrette, Thai Cashew Pieces & Peanut Orange Sauce, Half Salads, Salads; Choice in: You Pick Two",,"	-"," ","Half Salad",240,10,20,6,20,20657
"Panera Bread",Salads,"Power Mediterranean Chicken Salad","	Power Mediterranean Chicken Salad w/ Hard-boiled Eggs, Chopped Romaine Lettuce, Fresh Tomatoes, Applewood Smoked Bacon, Fresh Baby Spinach, All Natural Antibiotic Free Citrus & Pepper Chicken, Fresh California Extra Virgin Olive Oil, Fresh Lemon Juice, Power Menu, Hidden Menu",,"	-"," ",,400,24,9,2,37,32161
"Panera Bread",Salads,"Power Mediterranean Roasted Turkey Salad","Power Mediterranean Roasted Turkey Salad w/ Black Pepper, Pepperoncini, Red Onions, Chopped Romaine Lettuce, Fresh Tomatoes, Roasted Turkey Breast, Baby Kalamata Olives, Fresh Baby Spinach, Fresh California Extra Virgin Olive Oil & Fresh Lemon Juice, Power Menu, Hidden Menu",,340,g,,300,13,11,4,27,32164
"Panera Bread",Salads,"Steak & Blue Cheese Salad","Steak & Blue Cheese Salad w/ Seared Steak, Romaine, Frizzled Onions, Tomatoes, Gorgonzola, Blue Cheese Vinaigrette & a Cabernet Reduction, Salads",,"	-"," ",,680,48,29,9,36,20660
"Panera Bread",Salads,"Thai Chicken Salad","Thai Chicken Salad w/ Antibiotic Free Chicken, Romaine, Thai Cashews, Fire Roasted Edamame, Red Pepper, Carrot Blend, Cilantro, Wonton Strips, Low Fat Thai Chili Vinaigrette & Peanut Sauce, Salads, Hand Tossed Salads",,"	-"," ",,490,19,42,14,39,20661
"Panera Bread",Sandwiches,"Asiago Steak Sandwich","Asiago Steak Sandwich, Sandwiches",,"	-"," ",,810,38,67,4,50,99118
"Panera Bread",Sandwiches,"Avocado, Egg White & Spinach Breakfast Power Sandwich","Avocado, Egg White & Spinach Breakfast Power Sandwich w/ Egg Whites, Vermont White Cheddar, Avocado, Fresh Spinach, Tomato & Sprouted Grain Bagel Flat, Breakfast Sandwiches, Breakfast Favorites",,"	-"," ","1 Sandwich",420,14,54,5,12,99113
"Panera Bread",Sandwiches,"Bacon, Egg & Cheese on Asiago Cheese Bagel","Bacon, Egg & Cheese on Asiago Cheese Bagel w/ All Natural Egg, Vermont White Cheddar, Applewood Smoked Bacon & Asiago Cheese Bagel, Breakfast Sandwiches, Breakfast Favorites",,"	-"," ","1 Sandwich",610,28,55,4,34,20662
"Panera Bread",Sandwiches,"Bacon, Egg & Cheese on Ciabatta","Bacon, Egg & Cheese on Ciabatta w/ All Natural Egg, Vermont White Cheddar, Applewood Smoked Bacon & Ciabatta, Breakfast Sandwiches, Breakfast Favorites",,"	-"," ","1 Sandwich",520,25,43,2,29,976
"Panera Bread",Sandwiches,"Chipotle Chicken Panini","Chipotle Chicken Panini, Panini",,"	-"," ",,840,38,72,5,53,99120
"Panera Bread",Sandwiches,"Egg & Cheese on Asiago Cheese Bagel","Egg & Cheese on Asiago Cheese Bagel",,"	-"," ","1 Sandwich",490,19,54,3,24,20663
"Panera Bread",Sandwiches,"Egg & Cheese on Ciabatta","Egg & Cheese on Ciabatta w/ All Natural Egg, Vermont White Cheddar & Ciabatta, Breakfast Sandwiches, Breakfast Favorites",,"	-"," ","1 Sandwich",390,15,43,2,19,977
"Panera Bread",Sandwiches,"Frontega Chicken Panini","Frontega Chicken Panini, Panini",,"	-"," ",,780,30,84,8,45,99121
"Panera Bread",Sandwiches,"Half Asiago Steak on Asiago Cheese","Half Asiago Steak on Asiago Cheese w/ Black Pepper, Green Leaf Lettuce, Red Onions, Salt, Fresh Tomatoes, Smoked Cheddar Cheese, Asiago Demi, Horseradish Sauce & Steak, Half Sandwiches, Sandwiches; Choice in: You Pick Two",,"	-"," ","Half Sandwich",400,19,34,2,25,62714
"Panera Bread",Sandwiches,"Half Bacon Turkey Bravo on Tomato Basil","Half Bacon Turkey Bravo on Tomato Basil XL Loaf w/ Black Pepper, Smoked Gouda Cheese, Green Leaf Lettuce, Salt, Fresh Tomatoes, Signature Sauce, Smoked Turkey Breast & Applewood Smoked Bacon, Half Sandwiches, Sandwiches; Choice in: You Pick Two",,"	-"," ","Half Sandwich",390,13,42,4,26,658
"Panera Bread",Sandwiches,"Half Chipotle Chicken w/ Bacon on French Miche","Half Chipotle Chicken w/ Bacon on French Miche w/ Black Pepper, Salt, Fresh Tomatoes, Smoked Cheddar Cheese, Reduced Fat Ancho Chipotle Spread, All Natural Antibiotic Free Citrus & Pepper Chicken & Applewood Smoked Bacon, Half Sandwiches, Sandwiches; Choice in: You Pick Two",,"	-"," ","Half Panini",420,19,36,3,27,399
"Panera Bread",Sandwiches,"Half Classic Grilled Cheese on All Natural White Miche, Half","Half Classic Grilled Cheese on All Natural White Miche w/ Organic American Cheese, Half Sandwiches, Sandwiches",,"	-"," ","Half Sandwich",290,10,37,3,13,32190
"Panera Bread",Sandwiches,"Half Fontina Grilled Cheese on All Natural White Miche","Half Fontina Grilled Cheese on All Natural White Miche w/ Aged Vermont White Cheddar Cheese, All Natural White Miche, Fontina Cheese, Four Cheese Italian Blend, Reduced Fat Chive & Onion Cream Cheese Spread, Half Sandwiches, Sandwiches; Choice in: You Pick Two",,"	-"," ","Half Sandwich",430,21,37,2,21,62712
"Panera Bread",Sandwiches,"Half Frontega Chicken on Focaccia","Half Frontega Chicken on Focaccia w/ Fresh Basil, Red Onions, Fresh Tomatoes, Sliced Mozzarella, Chipotle Mayonnaise Spread & Smoked Pulled Chicken, Half Sandwiches, Sandwiches; Choice in: You Pick Two",,"	-"," ","Half Panini",390,15,42,4,23,397
"Panera Bread",Sandwiches,"Half Italian Combo w/ Steak on Ciabatta","Half Italian Combo w/ Steak on Ciabatta w/ Combo Sauce, Black Pepper, Smoked Ham, Green Leaf Lettuce, Pepperoncini, Red Onions, Salt, Fresh Tomatoes, Sliced Swiss Cheese, Ciabatta, Smoked Turkey Breast, Sliced Genoa Salami, Steak & Ciabatta, Half Sandwiches",,"	-"," ","Half Sandwich",490,20,48,3,37,62713
"Panera Bread",Sandwiches,"Half Mediterranean Veggie on Tomato Basil XL Loaf","Half Mediterranean Veggie on Tomato Basil XL Loaf w/ Feta Crumbles, Cilantro Hummus, Black Pepper, Fresh Cucumber, Green Leaf Lettuce, Red Onions, Salt, Fresh Tomatoes & Zesty Peppadew Piquant Peppers, Half Sandwiches, Sandwiches; Choice in: You Pick Two",,"	-"," ","Half Sandwich",280,6,47,5,10,808
"Panera Bread",Sandwiches,"Half Napa Almond Chicken Salad on Sesame Semolina","Half Napa Almond Chicken Salad on Sesame Semolina Miche w/ Black Pepper, Green Leaf Lettuce, Salt, Fresh Tomatoes & Almond Chicken Salad, Half Sandwiches, Sandwiches; Choice in: You Pick Two",,"	-"," ","Half Sandwich",340,13,46,6,15,783
"Panera Bread",Sandwiches,"Half Roasted Turkey & Avocado BLT on Sourdough","Half Roasted Turkey & Avocado BLT on Sourdough Extra Large Loaf w/ Black Pepper, Avocado, Green Leaf Lettuce, Salt, Fresh Tomatoes, Applewood Smoked Bacon, Reduced Fat Mayonnaise Made w/ Olive Oil & Roasted Turkey Breast, Half Sandwiches, Sandwiches; Choice in: You Pick Two",,"	-"," ","Half Sandwich",250,9,24,1,19,32184
"Panera Bread",Sandwiches,"Half Sierra Turkey on Asiago Cheese Focaccia","Half Sierra Turkey on Asiago Cheese Focaccia w/ Red Onions, Chipotle Mayonnaise Spread, Smoked Turkey Breast & Spring Mix w/ Baby Spinach, Half Sandwiches, Sandwiches; Choice in: You Pick Two",,"	-"," ","Half Sandwich",390,16,40,3,20,661
"Panera Bread",Sandwiches,"Half Smoked Ham & Swiss on Rye","Half Smoked Ham & Swiss on Rye w/ Black Pepper, Smoked Ham, Green Leaf Lettuce, Red Onions, Salt, Fresh Tomatoes, Rye Miche & Sliced Swiss Cheese, Half Sandwiches, Sandwiches; Choice in: You Pick Two",,"	-"," ","Half Sandwich",290,9,33,3,21,657
"Panera Bread",Sandwiches,"Half Smoked Turkey Breast on Country Miche","Half Smoked Turkey Breast on Country Miche w/ Black Pepper, Green Leaf Lettuce, Red Onions, Salt, Fresh Tomatoes & Smoked Turkey Breast, Half Sandwiches, Sandwiches; Choice in: You Pick Two",,"	-"," ","Half Sandwich",220,2,34,2,16,652
"Panera Bread",Sandwiches,"Half Smokehouse Turkey w/ Bacon on Three Cheese Miche","Half Smokehouse Turkey w/ Bacon on Three Cheese Miche w/ Applewood Smoked Bacon, Ale Mustard Sauce, Smoked Turkey Breast & Smoked Cheddar Cheese, Half Sandwiches, Sandwiches; Choice in: You Pick Two",,"	-"," ","Half Panini",360,13,34,4,27,656
"Panera Bread",Sandwiches,"Half Tomato & Mozzarella on Ciabatta","	Half Tomato & Mozzarella on Ciabatta w/ Black Pepper, Fresh Basil, Salt, Fresh Tomatoes, Fresh Mozzarella, Roasted Tomatoes, Ciabatta & Sun-Dried Tomato Pesto, Half Sandwiches, Panini, Panini & Sandwiches; Choice in: You Pick Two",,"	-"," ","Half Panini",370,16,55,5,16,809
"Panera Bread",Sandwiches,"Half Tuna Salad on Honey Wheat","Half Tuna Salad on Honey Wheat Loaf w/ Black Pepper, Green Leaf Lettuce, Red Onions, Salt, Fresh Tomatoes & Tuna Salad, Half Sandwiches, Sandwiches; Choice in: You Pick Two",,"	-"," ","Half Sandwich",260,8,32,6,14,784
"Panera Bread",Sandwiches,"Ham, Egg & Cheese on Whole Grain","Ham, Egg & Cheese on Whole Grain w/ All Natural Egg, Vermont White Cheddar, Smoked Lean Ham & Whole Grain, Breakfast Sandwiches, Breakfast Favorites, also called Ham, Egg & Cheese Breakfast Power Sandwich",,"	-"," ","1 Sandwich",340,15,31,3,16,20668
"Panera Bread",Sandwiches,"Kids Grilled Cheese","Kids Grilled Cheese w/ Organic American Cheese & All Natural White Bread, Kids; Choice of Adding: Squeezable Organic Yogurt, Apple or Soft Dinner Roll",,"	-"," ",,410,13,53,4,18,20707
"Panera Bread",Sandwiches,"Kids Smoked Ham Sandwich","Kids Smoked Ham Sandwich w/ Organic American Cheese, Smoked Lean Ham & All Natural White Bread, Kids; Choice of Adding: Squeezable Organic Yogurt, Apple or Soft Dinner Roll",,"	-"," ",,290,9,34,3,19,20710
"Panera Bread",Sandwiches,"Kids Smoked Turkey Sandwich","Kids Smoked Turkey Sandwich w/ Organic American Cheese, Smoked Turkey Breast & All Natural White Bread, Kids; Choice of Adding: Squeezable Organic Yogurt, Apple or Soft Dinner Roll",,"	-"," ",,290,8,33,3,21,20711
"Panera Bread",Sandwiches,"Mediterranean Egg White on Ciabatta","Mediterranean Egg White on Ciabatta w/ Egg Whites, Vermont White Cheddar, Tomato Sofrito, Fresh Spinach, Basil Pesto & Ciabatta, Breakfast Sandwiches, Breakfast Favorites",,"	-"," ","1 Sandwich",500,20,58,4,16,20712
"Panera Bread",Sandwiches,"Peanut Butter & Jelly Sandwich","Peanut Butter & Jelly Sandwich w/ Creamy Peanut Butter, Grape Jelly & All Natural White Bread, Kids; Choice of Adding: Squeezable Organic Yogurt, Apple or Soft Dinner Roll",,"	-"," ",,410,17,54,20,11,20708
"Panera Bread",Sandwiches,"Roasted Turkey & Avocado BLT","Roasted Turkey & Avocado BLT w/ Antibiotic Free Roasted Turkey Breast, Applewood Smoked Bacon, Lettuce, Tomatoes, Avocado, Reduced Fat Olive Oil Mayo & Sourdough, Sandwiches",,"	-"," ",,510,19,48,3,37,99117
"Panera Bread",Sandwiches,"Sausage, Egg & Cheese on Ciabatta","Sausage, Egg & Cheese on Ciabatta w/ All Natural Egg, Vermont White Cheddar, All Natural Sausage & Ciabatta, Breakfast Sandwiches, Breakfast Favorites",,"	-"," ","1 Sandwich",550,29,44,2,28,978
"Panera Bread",Sandwiches,"Smokehouse Turkey Panini","Smokehouse Turkey Panini, Panini",,"	-"," ",,720,27,68,8,53,99122
"Panera Bread",Sandwiches,"Southwestern Chicken Flatbread Sandwich","Southwestern Chicken Flatbread Sandwich w/ Antibiotic Free Chicken, Black Bean Hummus, Feta, Southwest Corn Bread, Napa Cabbage Blend, Cilantro & BBQ Ranch Dressing, Freshly Baked Flatbread, Flatbreads, Flatbread Sandwiches",,"	-"," ",,380,17,41,9,9,99116
"Panera Bread",Sandwiches,"Steak & Egg on Everything Bagel","Steak & Egg on Everything Bagel, Breakfast Sandwiches, Breakfast Favorites",,"	-"," ","1 Sandwich",550,18,60,4,33,99124
"Panera Bread",Sandwiches,"Steak & White Cheddar Panini","Steak & White Cheddar Panini w/ Seared Steak, Caramelized Onions, Vermont White Cheddar, Horseradish Sauce & French Baguette, Panini",,"	-"," ",,960,36,103,4,51,99119
"Panera Bread",Sandwiches,"Tomato & Mozzarella Panini","Tomato & Mozzarella Panini, Panini",,"	-"," ",,860,32,110,10,32,99114
"Panera Bread",Sandwiches,"Turkey Cranberry Flatbread Sandwich","Turkey Cranberry Flatbread Sandwich w/ Antibiotic Free Roasted Turkey Breast, Cranberry Mostarda, Baby Spinach, Garlic & Herb Cream Cheese Spread & Flatbread, Flatbreads, Flatbread Sandwiches",,"	-"," ",,310,11,33,7,13,99115
"Panera Bread",Sandwiches,"Turkey Sausage, Egg White & Spinach Breakfast Power Sandwich","Turkey Sausage, Egg White & Spinach Breakfast Power Sandwich w/ Turkey Sausage, Egg Whites, Vermont White Cheddar, Fresh Spinach, Tomato & Sprouted Grain Bagel Flat, Breakfast Sandwiches, Breakfast Favorites",,"	-"," ","1 Sandwich",410,12,52,4,16,99123
"Panera Bread",Sandwiches,"Whole Asiago Steak Sandwich","Whole Asiago Steak Sandwich w/ Seared Steak, Smoked Cheddar, Lettuce, Tomatoes, Red Onions, Horseradish Sauce & Asiago Cheese Demi, Sandwiches",,"	-"," ",,810,38,67,4,50,62716
"Panera Bread",Sandwiches,"Whole Bacon Turkey Bravo Sandwich","Whole Bacon Turkey Bravo Sandwich w/ Smoked Turkey Breast, Applewood Smoked Bacon, Smoked Gouda, Lettuce, Tomatoes, Signature Sauce & Tomato Basil, Sandwiches",,"	-"," ",,790,27,85,8,52,669
