Restaurant,Food Category,Item_Name,Item Description 2015,Servings Per Item 2015,Serving Size 2015,Serving Size Unit 2015,Servings Size Text 2015,Calories,Fat,Carbohydrates,Sugar,Protein,Menu_Item_ID
Au Bon Pain,Entrees,Macaroni & Cheese,"Macaroni & Cheese, Hot & Cold Lunch Bar, 1 oz",,28,g,,45,3,3,1,2,26090
Au Bon Pain,Entrees,"Macaroni & Cheese, Large","Macaroni & Cheese w/ Macaroni, Cheese Sauce, Ground Pepper, Romano, Cheddar Cheese & Nutmeg, Soups, This Weeks Soup, Large, 16 fl oz",,480,g,,710,39,61,7,29,26091
Au Bon Pain,Entrees,"Macaroni & Cheese, Medium","Macaroni & Cheese w/ Macaroni, Cheese Sauce, Ground Pepper, Romano, Cheddar Cheese & Nutmeg, Soups, This Weeks Soup, Medium, 12 fl oz",,360,g,,530,29,46,5,22,26092
Au Bon Pain,Entrees,"Macaroni & Cheese, Small","Macaroni & Cheese w/ Macaroni, Cheese Sauce, Ground Pepper, Romano, Cheddar Cheese & Nutmeg, Soups, This Weeks Soup, Small, 8 fl oz",,240,g,,350,19,30,3,14,26093
Au Bon Pain,Entrees,Meat Lasagna,"	Meat Lasagna w/ Ricotta Cheese, Entrees, 10.7 oz",,304,g,,470,24,41,7,22,1973
Au Bon Pain,Entrees,Meatballs & Marinara Sauce,"Meatballs & Marinara Sauce, Entrees, Hot & Cold Lunch Bar, 1 oz",,28,g,,40,"	2.5",2,1,2,26102
Au Bon Pain,Entrees,Pasta Rigate,"Pasta Rigate, Entrees, 1 oz",,28,g,,40,1,7,0,1,90234
Au Bon Pain,Entrees,Roasted Angus Steak Teriyaki Harvest Rice Bowl,"Roasted Angus Steak Teriyaki Harvest Rice Bowl w/ Seasoned Angus Beef, Roasted Green Zucchini, Eggplant, Red Peppers, Teriyaki Sauce, Ginger, Garlic & Brown Rice, Rice Bowls, Entrees",,503,g,,610,14,91,13,30,25848
Au Bon Pain,Entrees,Roasted Chicken & Thyme,"Roasted Chicken & Thyme, Entrees, Hot & Cold Lunch Bar, 1 oz",,28,g,,50,"	2.5",0,0,6,35305
Au Bon Pain,Entrees,Roasted Mayan Chicken Harvest Rice Bowl,"Roasted Mayan Chicken Harvest Rice Bowl w/ Seasoned Chicken, Mayan Sauce, Roasted Green Zucchini, Eggplant, Red Peppers & Brown Rice, Rice Bowls, Entrees",,503,g,,580,17,80,5,28,1272
Au Bon Pain,Entrees,Sausage & Pepper w/ Tomato Sauce,"Sausage & Pepper w/ Tomato Sauce, Entrees, 1 oz",,28,g,,35,2,1,0,2,90235
Au Bon Pain,Entrees,Sausage & Peppers,"Sausage & Peppers, Breakfast Bar, Hot Breakfast, 1 oz",,28,g,,40,"	2.5",1,0,3,3781
Au Bon Pain,Entrees,Scrambled Eggs,"Scrambled Eggs, Vegetarian, Breakfast Bar, Hot Breakfast, 1 oz",,28,g,1 oz,35,3,1,1,3,2014
Au Bon Pain,Entrees,Scrambled Eggs w/ Ham & Cheese,"Scrambled Eggs w/ Ham & Cheese, Breakfast Bar, Hot Breakfast, 1 oz",,28,g,,40,"	2.5",1,1,3,90232
Au Bon Pain,Entrees,Shahi Paneer,"Shahi Paneer, Entrees, Hot & Cold Lunch Bar, 1 oz",,28,g,,60,4,2,2,3,35306
Au Bon Pain,Entrees,Spinach & Ricotta Lasagna,"Spinach & Ricotta Lasagna, Entrees, Hot & Cold Lunch Bar, 1 oz",,28,g,,45,3,3,1,3,26279
Au Bon Pain,Salads,Caesar Asiago Salad,"	Caesar Asiago Salad w/ Romaine, Asiago Cheese, Croutons & Caesar Dressing, Salads, Specialty Salads, 6.7 oz; Choice of: Dressing",,190,g,,180,8,19,3,10,25910
Au Bon Pain,Salads,Chicken Caesar Asiago,"	Chicken Caesar Asiago w/ Romaine, All Natural Chicken, Asiago Cheese, Croutons & Caesar Dressing, Salads, Specialty Salads, 9.1 oz; Choice of: Dressing",,258,g,,250,10,19,3,24,1714
Au Bon Pain,Salads,Chicken Cobb w/ Avocado Salad,"	Chicken Cobb w/ Avocado Salad, All Natural Chicken, Applewood Smoked Bacon, Gorgonzola, Egg, Tomatoes, Cucumbers, Avocado & Sesame Ginger Dressing, Salads, Specialty Salads, 13.9 oz; Choice of Adding: Breads",,393,g,,410,26,13,5,33,25929
Au Bon Pain,Salads,Garden Salad,"	Garden Salad w/ Mesclun, Cucumbers, Tomatoes & Croutons, Salads, Specialty Salads, 8.6 oz; Choice of: Dressing",,244,g,,90,"	1.5",17,5,4,1808
Au Bon Pain,Salads,Side Garden Salad,"	Side Garden Salad w/ Mesclun, Cucumbers, Carrots, Tomatoes & Red Onions, Salads, Specialty Salads, 7.5 oz",,213,g,,45,0,10,5,2,1810
Au Bon Pain,Salads,Southwest Chicken Salad,"	Southwest Chicken Salad w/ Marinated Chicken, Romaine, Black Beans, Roasted Corn, Avocado, Cucumbers, Tomatoes, Wontons & Southwest Vinaigrette, Salads, Specialty Salads, 16.5 oz",,468,g,,350,12,40,9,22,35308
Au Bon Pain,Salads,Thai Peanut Chicken Salad,"Thai Peanut Chicken Salad w/ All Natural Grilled Chicken, Mesclun, Tomatoes, Cucumbers, Carrots, Crispy Wontons & Thai Peanut Dressing, Salads, Specialty Salads, 11 oz; Choice of: Dressing",,312,g,,190,5,19,5,18,1717
Au Bon Pain,Salads,Tuna Salad,"	Tuna Salad w/ Mesclun, Tuna Salad, Cucumbers, Tomatoes, Croutons & Balsamic Vinaigrette, Salads, Specialty Salads, 12.6 oz; Choice of: Dressing",,357,g,,270,12,20,7,21,1877
Au Bon Pain,Salads,Turkey & Poached Pear Salad,"	Turkey & Poached Pear Salad w/ All Natural Turkey, Goat Cheese, Honey Roasted Pecans, Poached Pears, Mixed Salad Greens & Balsamic Vinaigrette, Salads, Specialty Salads, Winter Menu, 8.8 oz; Choice of: Dressing",,250,g,,330,20,22,15,19,90237
Au Bon Pain,Salads,"Turkey, Apple, Brie Salad","	Turkey, Apple, Brie Salad w/ Fresh Spinach, Turkey, Brie, Granny Smith Apples, Cranberries, Walnuts & Maple Walnut Vinaigrette, Salads, Specialty Salads, 9.2 oz; Choice of: Dressing",,261,g,,430,25,30,15,24,35309
Au Bon Pain,Salads,Vegetarian Deluxe Salad,"	Vegetarian Deluxe Salad w/ Romaine, Fire Roasted Red & Yellow Peppers, Kalamata Olives, Feta, Tomatoes, Cucumbers, carrots, Chickpeas, Red Onions & Balsamic Vinaigrette, Salads, Specialty Salads, 16.3 oz; Choice of: Dressing",,463,g,,280,13,30,9,13,35310
Au Bon Pain,Salads,Wheatberry Waldorf Salad Petit Plate,"Wheatberry Waldorf Salad Petit Plate w/ Wheatberries, Apples, Dried Cranberries, Walnuts, Citrus Dressing & Arugula, All Snacks, Petit Plate & Snacks, 1 Container",,150,g,1 Container,310,14,45,12,6,90238
Au Bon Pain,Sandwiches,2 Egg & Bacon on a Skinny Wheat Bagel,"2 Egg & Bacon on a Skinny Wheat Bagel, 2 Eggs, Breakfast Sandwiches; Choice of: Bagel",,152,g,,310,17,22,2,22,90239
Au Bon Pain,Sandwiches,2 Egg & Bacon Sandwich on Ciabatta,"2 Egg & Bacon on Ciabatta, 2 Eggs, Breakfast Sandwiches; Choice of: Bagel",,184,g,1 Sandwich,410,17,39,2,24,90240
Au Bon Pain,Sandwiches,2 Egg & Cheddar on a Plain Bagel,"2 Egg & Cheddar on a Plain Bagel, 2 Eggs & Cheddar, Breakfast Sandwiches; Choice of: Bagel",,211,g,1 Sandwich,480,16,58,5,26,90248
Au Bon Pain,Sandwiches,2 Egg & Cheddar on a Skinny Wheat Bagel,"2 Egg & Cheddar on a Skinny Wheat Bagel, 2 Eggs & Cheddar, Breakfast Sandwiches; Choice of: Bagel",,150,g,1 Sandwich,290,16,22,1,19,90249
Au Bon Pain,Sandwiches,2 Egg & Cheddar on Ciabatta,"2 Egg & Cheddar on Ciabatta, 2 Eggs & Cheddar, Breakfast Sandwiches; Choice of: Bagel",,181,g,1 Sandwich,390,16,39,2,21,90250
Au Bon Pain,Sandwiches,2 Egg & Ham Sandwich on a Plain Bagel,"2 Egg & Ham Sandwich on a Plain Bagel, 2 Eggs, Breakfast Sandwiches; Choice of: Bagel",,245,g,1 Sandwich,470,12,59,52,29,26004
Au Bon Pain,Sandwiches,2 Egg & Ham Sandwich on a Skinny Wheat Bagel,"2 Egg & Ham Sandwich on a Skinny Wheat Bagel, 2 Eggs, Breakfast Sandwiches; Choice of: Bagel",,178,g,1 Sandwich,270,12,23,2,22,90241
Au Bon Pain,Sandwiches,2 Egg & Ham Sandwich on Ciabatta,"2 Egg & Ham Sandwich on Ciabatta, 2 Eggs, Breakfast Sandwiches; Choice of: Bagel",,215,g,1 Sandwich,380,12,40,2,25,90242
Au Bon Pain,Sandwiches,2 Egg & Sausage on a Plain Bagel,"2 Egg & Sausage on a Plain Bagel, 2 Eggs, Breakfast Sandwiches; Choice of: Bagel",,248,g,1 Sandwich,590,25,59,5,31,90243
Au Bon Pain,Sandwiches,2 Egg & Sausage on a Skinny Wheat Bagel,"2 Egg & Sausage on a Skinny Wheat Bagel, 2 Eggs, Breakfast Sandwiches; Choice of: Bagel",,186,g,1 Sandwich,390,25,23,1,24,90244
Au Bon Pain,Sandwiches,2 Egg & Sausage on Ciabatta,"2 Egg & Sausage on Ciabatta, 2 Eggs, Breakfast Sandwiches; Choice of: Bagel",,218,g,1 Sandwich,490,25,40,2,26,90245
Au Bon Pain,Sandwiches,2 Egg on a Plain Bagel,"2 Egg on a Plain Bagel, 2 Eggs, Breakfast Sandwiches; Choice of: Bagel",,197,g,1 Sandwich,430,12,58,5,22,857
Au Bon Pain,Sandwiches,2 Egg Sandwich on a Skinny Wheat Bagel,"2 Egg Sandwich on a Skinny Wheat Bagel, 2 Eggs, Breakfast Sandwiches; Choice of: Bagel",,135,g,1 Sandwich,230,11,22,1,16,90246
Au Bon Pain,Sandwiches,2 Egg Sandwich on Ciabatta,"2 Egg Sandwich on Ciabatta, 2 Eggs, Breakfast Sandwiches; Choice of: Bagel",,167,g,1 Sandwich,330,11,39,2,17,90247
Au Bon Pain,Sandwiches,"2 Egg, Bacon & Cheddar on a Plain Bagel","2 Egg, Bacon & Cheddar on a Plain Bagel, 2 Eggs & Cheddar, Breakfast Sandwiches; Choice of: Bagel",,228,g,1 Sandwich,560,22,58,5,32,859
Au Bon Pain,Sandwiches,"2 Egg, Bacon & Cheddar on a Skinny Wheat Bagel","2 Egg, Bacon & Cheddar on a Skinny Wheat Bagel, 2 Eggs & Cheddar, Breakfast Sandwiches; Choice of: Bagel",,167,g,1 Sandwich,370,21,22,2,25,90251
Au Bon Pain,Sandwiches,"2 Egg, Bacon & Cheddar on Ciabatta","2 Egg, Bacon & Cheddar on Ciabatta, 2 Eggs & Cheddar, Breakfast Sandwiches; Choice of: Bagel",,198,g,1 Sandwich,470,22,39,2,27,65080
Au Bon Pain,Sandwiches,"2 Egg, Ham & Cheddar on a Plain Bagel","2 Egg, Ham & Cheddar on a Plain Bagel, 2 Eggs & Cheddar, Breakfast Sandwiches; Choice of: Bagel",,259,g,1 Sandwich,530,17,59,6,33,90252
Au Bon Pain,Sandwiches,"2 Egg, Ham & Cheddar on a Skinny Wheat Bagel","2 Egg, Ham & Cheddar on a Skinny Wheat Bagel, 2 Eggs & Cheddar, Breakfast Sandwiches; Choice of: Bagel",,192,g,1 Sandwich,330,16,23,2,25,90253
Au Bon Pain,Sandwiches,"2 Egg, Ham & Cheddar on Ciabatta","2 Egg, Ham & Cheddar on Ciabatta, 2 Eggs & Cheddar, Breakfast Sandwiches; Choice of: Bagel",,224,g,1 Sandwich,420,17,41,3,27,90254
Au Bon Pain,Sandwiches,"2 Egg, Sausage & Cheddar on a Plain Bagel","2 Egg, Sausage & Cheddar on a Plain Bagel, 2 Eggs & Cheddar, Breakfast Sandwiches; Choice of: Bagel",,262,g,1 Sandwich,650,30,59,5,34,90255
Au Bon Pain,Sandwiches,"2 Egg, Sausage & Cheddar on a Skinny Wheat Bagel","2 Egg, Sausage & Cheddar on a Skinny Wheat Bagel, 2 Eggs & Cheddar, Breakfast Sandwiches; Choice of: Bagel",,201,g,1 Sandwich,450,29,23,2,28,35312
Au Bon Pain,Sandwiches,"2 Egg, Sausage & Cheddar on Ciabatta","2 Egg, Sausage & Cheddar on a Skinny Wheat Bagel, 2 Eggs & Cheddar, Breakfast Sandwiches; Choice of: Bagel",,232,g,1 Sandwich,550,29,41,2,30,35333
Au Bon Pain,Sandwiches,2 Eggs & Bacon on a Plain Bagel,"2 Eggs & Bacon on a Plain Bagel, 2 Eggs, Breakfast Sandwiches; Choice of: Bagel",,214,g,1 Sandwich,510,17,58,5,28,858
Au Bon Pain,Sandwiches,2 Eggs on a Bagel w/ Cheese,"2 Egg on a Bagel w/ Cheese, Breakfast Sandwiches; Choice of: Bagel",,211,g,1 Sandwich,480,16,58,5,26,860
Au Bon Pain,Sandwiches,BBQ Chicken & Black Bean Wrap,"BBQ Chicken & Black Bean Wrap w/ Chicken Breast & Black Beans, Wraps, Cold Sandwiches",,408,g,1 Wrap,730,26,75,13,45,35317
Au Bon Pain,Sandwiches,"Black Angus Roast Beef & Cheddar Sandwich, 1/2 Sandwich","Black Angus Roast Beef & Cheddar Sandwich on Ciabatta w/ Black Angus Roast Beef, Cheddar Cheese, Tomatoes, 1/2 Sandwich",,155,g,1/2 Sandwich,260,10,27,2,17,90261
Au Bon Pain,Sandwiches,"Black Angus Roast Beef & Cheddar Sandwich, Whole Sandwich","Black Angus Roast Beef & Cheddar Sandwich on Ciabatta w/ Black Angus Roast Beef, Cheddar Cheese, Tomatoes, Dijon & Mesclun, Cafe Sandwiches, Cold Sandwiches, Whole Sandwich",,290,g,Whole Sandwich,510,18,53,4,34,35313
Au Bon Pain,Sandwiches,"Black Angus Roast Beef & Herb Cheese Sandwich, 1/2 Sandwich","Black Angus Roast Beef & Herb Cheese Sandwich on a Multigrain Baguette w/ Arugula & Tomatoes, Signature Sandwiches, Cold Sandwiches, 1/2 Sandwich",,153,g,1/2 Sandwich,260,7,36,2,16,35324
Au Bon Pain,Sandwiches,"Black Angus Roast Beef & Herb Cheese Sandwich, Whole Sandwich","Black Angus Roast Beef & Herb Cheese Sandwich on a Multigrain Baguette w/ Arugula & Tomatoes, Signature Sandwiches, Cold Sandwiches, Whole Sandwich",,292,g,Whole Sandwich,520,14,71,3,31,65076
Au Bon Pain,Sandwiches,Black Angus Steak & Cheese Sandwich,"Black Angus Steak & Cheese Sandwich on Ancient Grain Ciabatta w/ Sliced Black Angus Steak, Horseradish Aioli, Caramelized Onions, Fire Roasted Red & Yellow Bell Peppers, Three Cheddar Blend & Roasted Tomatoes, Oven Hot Sandwiches",,333,g,1 Sandwich,840,46,63,8,44,65075
Au Bon Pain,Sandwiches,"Black Forest Ham & Cheddar Sandwich, 1/2 Sandwich","Black Forest Ham & Cheddar Sandwich on a Multigrain Baguette w/ Black Forest Ham, Honey Mustard, Tomatoes & Cheddar Cheese, Cafe Sandwiches, Cold Sandwiches, 1/2 Sandwich",,165,g,1/2 Sandwich,320,9,46,12,16,90262
Au Bon Pain,Sandwiches,"Black Forest Ham & Cheddar Sandwich, Whole Sandwich","Black Forest Ham & Cheddar Sandwich on a Multigrain Baguette w/ Black Forest Ham, Honey Mustard, Tomatoes & Cheddar Cheese, Cafe Sandwiches, Cold Sandwiches, Whole Sandwich",,319,g,Whole Sandwich,640,17,92,24,32,35314
Au Bon Pain,Sandwiches,"BLT, 1/2 Sandwich","BLT on Country White Bread w/ Applewood Smoked Bacon, Mesclun, Tomatoes & Mayo, Cafe Sandwiches, Cold Sandwiches, 1/2 Sandwich",,104,g,1/2 Sandwich,210,8,26,2,8,90263
Au Bon Pain,Sandwiches,"BLT, Whole Sandwich","BLT on Country White Bread w/ Applewood Smoked Bacon, Mesclun, Tomatoes & Mayo, Cafe Sandwiches, Cold Sandwiches, Whole Sandwich",,193,g,Whole Sandwich,420,16,52,4,17,65084
Au Bon Pain,Sandwiches,"Caprese Sandwich, 1/2 Sandwich","Caprese Sandwich on Ciabatta w/ Mozzarella Cheese, Tomatoes, Basil Pesto & Arugula, Signature Sandwiches Signature Sandwiches, Cold Sandwiches, 1/2 Sandwich",,123,g,1/2 Sandwich,250,11,26,2,11,65083
Au Bon Pain,Sandwiches,"Caprese Sandwich, Whole Sandwich","Caprese Sandwich on Ciabatta w/ Mozzarella Cheese, Tomatoes, Basil Pesto & Arugula, Signature Sandwiches Signature Sandwiches, Cold Sandwiches, Whole Sandwich",,259,g,Whole Sandwich,550,27,53,3,25,35325
Au Bon Pain,Sandwiches,"Caprese w/ Chicken Sandwich, 1/2 Sandwich","Caprese w/ Chicken Sandwich on Ciabatta w/ Chicken Breast, Mozzarella Cheese, Tomatoes, Basil Pesto & Arugula, Signature Sandwiches, Cold Sandwiches, 1/2 Sandwich",,180,g,1/2 Sandwich,300,12,26,2,22,90257
Au Bon Pain,Sandwiches,"Caprese w/ Chicken Sandwich, Whole Sandwich","Caprese w/ Chicken Sandwich on Ciabatta w/ Chicken Breast, Mozzarella Cheese, Tomatoes, Basil Pesto & Arugula, Signature Sandwiches, Cold Sandwiches, Whole Sandwich",,372,g,Whole Sandwich,680,30,53,3,49,35326
Au Bon Pain,Sandwiches,"Chicken Caesar Wrap, 1/2 Wrap","Chicken Caesar Wrap w/ All Natural Chicken, Romaine, Asiago Cheese & Caesar Dressing, Wraps, Cold Sandwiches, 1/2 Wrap",,165,g,1/2 Wrap,370,17,36,2,17,90266
Au Bon Pain,Sandwiches,"Chicken Caesar Wrap, Whole Wrap","Chicken Caesar Wrap w/ All Natural Chicken, Romaine, Asiago Cheese & Caesar Dressing, Wraps, Cold Sandwiches, Whole Wrap",,285,g,Whole Wrap,600,31,50,4,31,266
Au Bon Pain,Sandwiches,Chicken Pomodoro Sandwich,"Chicken Pomodoro Sandwich on Ciabatta w/ All Natural Chicken, Fresh Mozzarella, Asiago Cheese, Tomato Spread & Roasted Tomatoes, Oven Hot Sandwiches",,355,g,1 Sandwich,670,26,57,4,51,35318
Au Bon Pain,Sandwiches,"Chipotle Turkey & Avocado Sandwich, 1/2 Sandwich","Chipotle Turkey & Avocado Sandwich on Ciabatta w/ All Natural Turkey, Chipotle Cheddar, Fresh Avocado, Roasted Tomatoes, Arugula & Chipotle Mayo, Signature Sandwiches, Cold Sandwiches, 1/2 Sandwich",,162,g,1/2 Sandwich,340,16,30,2,20,90258
Au Bon Pain,Sandwiches,"Chipotle Turkey & Avocado Sandwich, Whole Sandwich","Chipotle Turkey & Avocado Sandwich on Ciabatta w/ All Natural Turkey, Chipotle Cheddar, Fresh Avocado, Roasted Tomatoes, Arugula & Chipotle Mayo, Signature Sandwiches, Cold Sandwiches, Whole Sandwich",,318,g,Whole Sandwich,670,32,60,4,39,35327
Au Bon Pain,Sandwiches,"Classic Chicken Salad Sandwich, 1/2 Sandwich","Classic Chicken Salad Sandwich on Country White Bread w/ Chicken Breast, Mayonnaise, Cranberries, Almonds, Tomatoes & Mesclun, Cafe Sandwiches, Cold Sandwiches, 1/2 Sandwich",,134,g,1/2 Sandwich,230,6,30,4,13,65081
Au Bon Pain,Sandwiches,"Classic Chicken Salad Sandwich, Whole Sandwich","Classic Chicken Salad Sandwich on Country White Bread w/ Chicken Breast, Mayonnaise, Cranberries, Almonds, Tomatoes & Mesclun, Cafe Sandwiches, Cold Sandwiches, Whole Sandwich",,254,g,Whole Sandwich,450,12,58,8,25,25975
Au Bon Pain,Sandwiches,Country Grilled Cheese w/ Tomato & Bacon Sandwich,"Country Grilled Cheese w/ Tomato & Bacon Sandwich on Country White w/ Melted Cheddar, Sliced Tomatoes & Applewood Smoked Bacon, Oven Hot Sandwiches, Winter Menu",,234,g,1 Sandwich,660,35,51,2,36,90272
Au Bon Pain,Sandwiches,Egg Whites & Cheddar Breakfast Sandwich,"Egg Whites & Cheddar Breakfast Sandwich on a Wheat Skinny Bagel, Egg Whites, Breakfast Sandwiches",,162,g,1 Sandwich,210,7,22,1,19,26000
Au Bon Pain,Sandwiches,"Egg Whites, Cheddar & Avocado Breakfast Sandwich","Egg Whites, Cheddar & Avocado Breakfast Sandwich on a Skinny Wheat Bagel w/ Egg Whites, Cheddar, Avocado & Lemon Aioli, Egg Whites, Breakfast Sandwiches",,207,g,1 Sandwich,310,17,26,2,20,26001
Au Bon Pain,Sandwiches,"Grilled Cheese Sandwich, Kids","Grilled Cheese Sandwich, Kids Meal; Choice of Adding: Fresh Fruit, Chips or Carrots & Beverage",,139,g,,410,15,49,1,18,35329
Au Bon Pain,Sandwiches,"Grilled Chicken Avocado Sandwich, 1/2 Sandwich","Grilled Chicken Avocado Sandwich on a Toasted Baguette w/ All Natural Chicken, Fresh Avocado, Applewood Smoked Bacon, Tomatoes, Mesclun, Dijon & Blue Cheese Dressing, Signature Sandwiches, Cold Sandwiches, 1/2 Sandwich",,193,g,1/2 Sandwich,360,15,34,2,22,90259
Au Bon Pain,Sandwiches,"Grilled Chicken Avocado Sandwich, Whole Sandwich","Grilled Chicken Avocado Sandwich on a Toasted Baguette w/ All Natural Chicken, Fresh Avocado, Applewood Smoked Bacon, Tomatoes, Mesclun, Dijon & Blue Cheese Dressing, Signature Sandwiches, Cold Sandwiches, Whole Sandwich",,345,g,Whole Sandwich,660,24,67,3,42,26045
Au Bon Pain,Sandwiches,Grilled Chicken Sandwich,"Grilled Chicken Sandwich on Ciabatta w/ All Natural Chicken Breast, Lemon Aioli, Tomatoes & Mesclun, Cafe Sandwiches, Cold Sandwiches, Whole Sandwich",,290,g,Whole Sandwich,480,15,53,4,33,26047
Au Bon Pain,Sandwiches,"Grilled Chicken Sandwich, 1/2 Sandwich","Grilled Chicken Sandwich on Ciabatta w/ All Natural Chicken Breast, Lemon Aioli, Tomatoes & Mesclun, Cafe Sandwiches, Cold Sandwiches, 1/2 Sandwich",,152,g,1/2 Sandwich,240,7,27,2,17,90264
Au Bon Pain,Sandwiches,"Hot Dog, Kids","Hot Dog, Kids Meal; Choice of Adding: Fresh Fruit, Chips or Carrots & Beverage",,100,g,,190,7,23,3,9,35330
Au Bon Pain,Sandwiches,Moroccan Lemon Chicken Wrap,"Moroccan Lemon Chicken Wrap on a Tortilla w/ All Natural Chicken Breast, Caramelized Onions, Moroccan Aioli & Spinach, Wraps, Cold Sandwiches",,343,g,1 Wrap,600,25,62,10,33,35319
Au Bon Pain,Sandwiches,"Napa Chicken w/ Avocado Wrap, 1/2 Wrap","Napa Chicken w/ Avocado Wrap w/ All Natural Chicken Breast, Romaine Lettuce, Tomatoes, Avocado, Cucumber, Lemon Aioli & Lemon Shallot Vinaigrette, Wraps, Cold Sandwiches, 1/2 Wrap",,227,g,1/2 Wrap,350,15,40,3,14,90267
Au Bon Pain,Sandwiches,"Napa Chicken w/ Avocado Wrap, Whole Wrap","Napa Chicken w/ Avocado Wrap w/ All Natural Chicken Breast, Romaine Lettuce, Tomatoes, Avocado, Cucumber, Lemon Aioli & Lemon Shallot Vinaigrette, Wraps, Cold Sandwiches, Whole Wrap",,353,g,Whole Wrap,500,21,55,5,24,26117
Au Bon Pain,Sandwiches,Newport Turkey Sandwich,"Newport Turkey Sandwich on Country White w/ All Natural Turkey, Avocado, Cheddar & Zesty Honey Mustard, Oven Hot Sandwiches",,321,g,1 Sandwich,770,34,75,22,44,65079
Au Bon Pain,Sandwiches,Smoked Salmon Wasabi,"Smoked Salmon Wasabi on an Onion Dill Bagel w/ Smoked Salmon, Herb Cheese, Cucumbers, Beechwood Chips & Wasabi Spread, Smoked Salmon, Breakfast Sandwiches",,202,g,1 Sandwich,420,10,62,8,20,864
Au Bon Pain,Sandwiches,"Thai Peanut Chicken Wrap, 1/2 Wrap","Thai Peanut Chicken Wrap w/ All Natural Grilled Chicken, Mesclun, Tomatoes, Cucumbers, Carrots, Crispy Wontons & Thai Peanut Dressing, Wraps, Cold Sandwiches, 1/2 Wrap",,213,g,1/2 Wrap,350,11,48,8,15,90268
